Data,Suspeitos,Confirmados,Descartados ,Obitos,Novos Suspeitos,Internados,Curados
12/03/20,1,0,0,0,1,,
13/03/20,4,0,0,0,3,,
14/03/20,4,0,0,0,0,,
15/03/20,5,0,0,0,1,,
16/03/20,5,0,0,0,0,,
17/03/20,5,1,0,1,1,,
20/03/20,3,1,2,1,0,,
23/03/20,31,1,2,1,28,,
27/03/20,29,1,8,1,4,,
28/03/20,18,1,19,1,0,,
30/03/20,20,1,22,1,5,,
01/04/20,22,1,23,1,3,,
08/04/20,16,1,34,1,5,,
13/04/20,2,2,48,1,1,,
14/04/20,3,2,48,1,1,,
15/04/20,4,2,48,1,1,,
16/04/20,4,3,48,1,1,,
17/04/20,4,5,48,1,2,,
20/04/20,5,5,49,1,2,,
21/04/20,9,5,49,1,4,,
22/04/20,9,5,49,1,0,,
23/04/20,8,6,49,1,0,,
24/04/20,9,7,50,1,3,,
25/04/20,9,7,50,1,0,,
27/04/20,9,7,50,1,0,,
28/04/20,10,7,50,1,1,,
29/04/20,10,7,51,1,1,,
01/05/20,9,8,52,1,1,,
02/05/20,9,8,52,1,0,,
05/05/20,6,9,54,1,0,,
06/05/20,8,9,54,1,2,,
08/05/20,8,9,54,1,0,,
09/05/20,8,9,54,1,0,,
11/05/20,7,10,54,1,0,,
13/05/20,8,11,55,1,3,1,9
14/05/20,9,12,55,1,2,2,
15/05/20,11,13,55,1,3,,
16/05/20,11,13,55,2,0,,
18/05/20,12,13,55,2,1,,
21/05/20,16,15,57,2,8,,
23/05/20,11,15,62,2,0,,
25/05/20,5,18,65,2,0,,
27/05/20,7,18,66,2,3,,
28/05/20,7,21,66,2,3,,
01/06/20,2,25,70,2,3,,
02/06/20,2,26,70,2,1,,
03/06/20,3,27,70,2,2,,
04/06/20,6,27,71,2,4,,
05/06/20,6,28,72,3,2,,
06/06/20,4,29,74,3,1,,
07/06/20,2,30,75,3,0,,
08/06/20,2,31,76,3,2,,
09/06/20,2,32,76,3,1,,
10/06/20,2,33,76,3,1,,
11/06/20,2,34,76,3,1,,
12/06/20,3,34,76,3,1,,
13/06/20,5,36,76,4,4,,
15/06/20,2,37,78,4,0,,
16/06/20,3,38,78,5,2,,
17/06/20,3,38,79,5,1,0,26
18/06/20,2,39,82,5,3,0,27
20/06/20,2,41,82,5,2,0,27
21/06/20,2,41,82,5,0,0,27
