Data,Suspeitos,Confirmados,Descartados ,Obitos,Novos Suspeitos,Internados,Curados
23/03/20,16,0,0,0,,,
25/03/20,13,0,3,0,0,,
26/03/20,12,0,4,0,0,,
27/03/20,10,0,6,0,0,,
31/03/20,11,0,6,0,1,,
01/04/20,8,0,9,0,0,,
02/04/20,7,0,10,0,0,,
03/04/20,8,0,10,0,1,,
06/04/20,6,0,13,0,1,,
08/04/20,10,0,14,0,5,,
09/04/20,7,2,15,0,0,,
13/04/20,14,2,18,0,10,,
14/04/20,17,2,24,0,9,,
15/04/20,14,2,39,0,12,,
16/04/20,19,2,42,0,8,,
17/04/20,18,2,43,0,0,,
20/04/20,13,2,48,0,0,,
22/04/20,14,2,48,0,1,,
23/04/20,19,2,49,0,6,,
24/04/20,16,2,52,0,0,,
27/04/20,13,3,54,0,0,,
28/04/20,14,3,59,0,6,,
29/04/20,14,3,61,0,2,,
04/05/20,13,5,61,0,1,,
05/05/20,23,5,62,0,11,,
06/05/20,17,6,68,1,1,,
07/05/20,18,7,68,1,2,,
08/05/20,22,9,72,1,10,,
11/05/20,23,10,73,1,3,,
12/05/20,28,13,73,1,8,,
13/05/20,32,13,76,2,7,,
14/05/20,38,13,80,2,10,,
15/05/20,37,17,88,3,11,,
18/05/20,42,19,98,3,17,,
19/05/20,41,19,110,3,11,,
20/05/20,44,23,111,3,8,,
21/05/20,42,24,118,3,6,,
22/05/20,40,29,125,3,10,,
25/05/20,40,31,131,4,8,,
26/05/20,41,31,136,4,6,,
27/05/20,38,36,138,4,4,,
28/05/20,30,37,149,4,4,,
29/05/20,32,41,157,4,14,,
01/06/20,22,42,168,4,2,,
02/06/20,24,45,170,4,7,,
03/06/20,26,45,170,4,2,,
04/06/20,28,46,171,4,4,,
05/06/20,28,47,175,4,5,,
08/06/20,31,48,176,4,5,,
09/06/20,37,48,179,4,9,,
10/06/20,39,50,179,4,4,,
12/06/20,35,53,181,4,1,,
15/06/20,41,58,185,5,15,,
16/06/20,33,62,195,5,6,4,42
17/06/20,31,66,195,5,2,2,45
18/06/20,21,66,209,5,4,2,45
19/06/20,12,66,218,5,0,3,47
20/06/22,12,68,218,5,2,3,48
22/06/20,13,69,222,5,6,3,50
23/06/20,11,76,228,5,11,3,53
25/06/20,13,88,231,5,17,3,61
26/06/20,18,90,233,5,9,3,63
29/06/20,20,99,262,5,40,1,68
30/06/20,20,103,262,5,4,1,74
02/07/20,20,118,270,5,23,2,90
03/07/20,17,121,277,5,7,3,94
06/07/20,15,123,282,5,5,3,95
07/07/20,14,124,289,6,7,1,95
08/07/20,14,126,291,6,4,1,100
09/07/20,18,127,294,6,8,1,103
10/07/20,21,128,294,6,4,1,109
13/07/20,25,130,298,6,10,1,114
14/07/20,27,131,302,6,7,2,116
15/07/20,26,132,308,6,6,2,119
16/07/20,31,133,315,6,13,2,120
17/07/20,25,136,326,6,8,3,123
20/07/20,35,136,341,6,25,3,124
21/07/20,35,139,347,7,9,1,124
22/07/20,36,140,348,7,3,1,126
23/07/20,23,140,374,7,13,1,126
25/07/20,23,141,377,7,4,1,127
27/07/20,32,143,382,7,16,1,131
29/07/20,32,144,401,7,20,1,133
30/07/20,36,144,403,7,6,1,133
31/07/20,38,146,406,7,7,1,134
03/08/20,44,148,420,7,22,1,136
04/08/20,46,149,424,7,7,2,137
05/08/20,34,149,444,8,8,2,137
06/08/20,40,150,447,8,10,3,138
10/08/20,39,150,463,8,15,2,140
11/08/20,45,150,470,8,13,2,140
12/08/20,32,150,486,8,3,2,140
13/08/20,34,151,489,8,6,3,141
17/08/20,39,151,505,9,21,2,141
18/08/20,35,151,519,9,10,3,141
19/08/20,36,154,524,9,9,2,141
21/08/20,33,156,536,9,11,3,142
24/08/20,34,156,545,9,10,3,142
26/08/20,20,159,572,9,16,2,143
27/08/20,21,161,578,9,9,2,147
28/08/20,21,161,580,9,2,2,147
31/08/20,18,161,592,9,9,1,148
01/09/20,19,161,598,9,7,1,148
02/09/20,21,161,599,9,3,1,150
03/09/20,23,161,599,9,2,1,150
04/09/20,23,163,600,9,3,1,150
08/09/20,13,163,620,9,10,0,151
09/09/20,13,164,620,9,1,0,151
15/09/20,23,165,632,9,23,0,155
16/09/20,26,166,639,9,11,0,156
18/09/20,27,167,645,9,8,0,156
21/09/20,28,167,647,9,3,0,156
22/09/20,19,167,663,9,7,0,156
24/09/20,22,169,668,9,10,0,158
29/09/20,24,172,672,9,9,0,162
30/09/20,16,172,690,9,10,1,162
02/10/20,17,173,697,9,9,1,163
08/10/20,24,178,709,9,24,0,166
13/10/20,35,182,726,9,32,0,167
14/10/20,28,183,746,9,14,1,170
15/10/20,27,185,754,9,9,1,170
16/10/20,29,186,759,9,8,1,170
19/10/20,38,189,762,9,15,1,171
20/10/20,40,192,768,9,11,3,171
21/10/20,42,194,779,9,15,3,174
22/10/20,42,195,785,9,7,3,174
23/10/20,44,195,787,9,4,3,175
26/10/20,44,195,803,9,16,1,180
27/10/20,39,198,825,9,20,1,182
28/10/20,40,198,844,9,20,1,183
29/10/20,38,199,858,9,13,1,183
03/11/20,42,204,875,9,26,1,187
04/11/20,43,206,878,10,6,0,188
05/11/20,26,209,903,10,11,1,189
07/11/20,27,212,907,10,8,3,191
09/11/20,34,217,919,10,24,3,196
11/11/20,51,220,928,10,29,4,197
12/11/20,51,226,947,11,25,4,202
13/11/20,58,230,955,11,19,4,203
16/11/20,93,240,967,12,57,3,210
17/11/20,93,243,1006,12,42,2,211
19/11/20,107,258,1034,12,57,2,218
20/11/20,117,271,1077,12,66,3,220
